Date,Time,RH-Corrected Nephelometer,RH-Corrected Nephelometer HR,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation,,,,
Date,Time,ë_g/må_,ë_g/må_,C,%,V,in H2O,in H2O,Lpm,g-unit,g-unit,g-unit,g-unit,,0=valid, 1=questionable, 2=invalid,0=valid, 1=questionable, 2=invalid
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
15/06/2017,18:09:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:09:10,63.393,,17.2,73.6,3.98,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:09:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:09:20,63.393,,,73.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:09:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:09:30,318.945,,,73.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:09:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:09:40,128.697,,17.2,73.7,,0.5,0.31,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:09:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:09:50,59.399,,,73.7,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:09:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:10:00,71.278,,,73.7,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:10:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:10:10,53.502,,17.2,73.6,3.99,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:10:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:10:20,83.226,,,73.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:10:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:10:30,51.521,,,73.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:10:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:10:40,89.062,,17.2,73.7,,0.5,0.32,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:10:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:10:50,51.458,,,73.7,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:10:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:11:00,27.708,,,73.7,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:11:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:11:10,47.557,,17.2,73.6,3.99,0.51,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:11:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:11:20,27.742,,,73.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:11:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:11:30,23.779,,,73.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:11:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:11:40,21.709,,17.2,73.8,,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:11:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:11:50,17.762,,,73.8,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:11:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:12:00,21.709,,,73.8,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:12:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:12:10,27.542,,17.2,74,3.94,0.51,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:12:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:12:20,29.51,,,74,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:12:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:12:30,82.627,,,74,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:12:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:12:40,17.72,,17.2,73.9,,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:12:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:12:50,23.627,,,73.9,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:12:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:13:00,13.783,,,73.9,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:13:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:13:10,17.669,,17.2,74,4,0.51,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:13:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:13:20,17.669,,,74,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:13:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:13:30,25.522,,,74,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:13:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:13:40,13.678,,17.2,74.3,,0.51,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:13:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:13:50,19.54,,,74.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:13:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:14:00,17.586,,,74.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:14:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:14:10,39.129,,17.2,74.2,3.98,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:14:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:14:20,13.695,,,74.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:14:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:14:30,19.564,,,74.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:14:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:14:40,21.631,,17.2,74,,0.51,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:14:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:14:50,9.832,,,74,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:14:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:15:00,13.765,,,74,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:15:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:15:10,7.872,,17.2,73.9,3.98,0.5,0.31,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:15:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:15:20,9.841,,,73.9,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:15:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:15:30,9.841,,,73.9,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:15:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:15:40,15.706,,17.2,74,,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:15:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:15:50,9.816,,,74,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:15:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:16:00,17.669,,,74,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:16:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:16:10,11.753,,17.2,74.1,3.99,0.51,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:16:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:16:20,11.753,,,74.1,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:16:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:16:30,21.548,,,74.1,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:16:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:16:40,9.794,,17.2,74.1,,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:16:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:16:50,15.671,,,74.1,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:16:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:17:00,5.877,,,74.1,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:17:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:17:10,13.712,,17.2,74.1,3.99,0.51,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:17:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:17:20,39.178,,,74.1,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:17:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:17:30,7.836,,,74.1,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:17:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:17:40,11.77,,17.2,74.1,,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:17:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:17:50,7.846,,,74.1,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:17:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:18:00,35.309,,,74.1,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:18:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:18:10,15.632,,17.2,74.3,3.95,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:18:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:18:20,9.77,,,74.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:18:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:18:30,7.816,,,74.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:18:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:18:40,23.461,,17.2,74.2,,0.5,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:18:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:18:50,11.73,,,74.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:18:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:19:00,17.596,,,74.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:19:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:19:10,9.753,,17.2,74.3,3.99,0.52,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:19:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:19:20,7.803,,,74.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:19:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:19:30,5.852,,,74.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:19:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:19:40,11.665,,17.2,74.5,,0.51,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:19:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:19:50,9.72,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:19:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:20:00,9.72,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:20:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:20:10,13.634,,17.2,74.4,3.99,0.51,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:20:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:20:20,7.791,,,74.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:20:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:20:30,17.529,,,74.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:20:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:20:40,7.78,,17.2,74.5,,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:20:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:20:50,19.449,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:20:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:21:00,11.67,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:21:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:21:10,5.817,,17.2,74.6,3.95,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:21:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:21:20,9.696,,,74.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:21:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:21:30,5.817,,,74.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:21:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:21:40,11.655,,17.2,74.5,,0.51,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:21:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:21:50,7.77,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:21:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:22:00,7.77,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:22:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:22:10,5.822,,17.2,74.5,3.99,0.5,0.32,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:22:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:22:20,25.23,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:22:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:22:30,15.526,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:22:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:22:40,21.349,,17.2,74.5,,0.52,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:22:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:22:50,13.585,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:22:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:23:00,9.704,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:23:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:23:10,13.609,,17.2,74.5,3.98,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:23:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:23:20,7.776,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:23:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:23:30,29.161,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:23:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:23:40,27.136,,17.2,74.6,,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:23:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:23:50,63.963,,,74.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:23:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:24:00,15.506,,,74.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:24:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:24:10,5.825,,17.2,74.5,3.99,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:24:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:24:20,5.825,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:24:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:24:30,15.533,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:24:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:24:40,9.733,,17.2,74.4,,0.51,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:24:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:24:50,11.679,,,74.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:24:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:25:00,9.733,,,74.4,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:25:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:25:10,9.758,,17.2,74.3,3.99,0.51,0.32,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:25:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:25:20,11.709,,,74.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:25:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:25:30,5.855,,,74.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:25:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:25:40,5.83,,17.2,74.5,,0.5,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:25:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:25:50,29.149,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:25:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:26:00,11.66,,,74.5,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:26:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:26:10,3.905,,17.2,74.3,3.98,0.5,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:26:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:26:20,15.621,,,74.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:26:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:26:30,15.621,,,74.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:26:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:26:40,9.782,,17.2,74.2,,0.5,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:26:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:26:50,9.782,,,74.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:26:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:27:00,7.826,,,74.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:27:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:27:10,11.739,,17.2,74.2,3.98,0.5,0.31,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:27:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:27:20,3.913,,,74.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:27:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:27:30,7.826,,,74.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:27:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:27:40,13.708,,17.2,74.2,,0.5,0.32,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:27:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:27:50,5.875,,,74.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:27:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:28:00,7.833,,,74.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:28:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:28:10,3.935,,17.2,74,3.99,0.51,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:28:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:28:20,5.902,,,74,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:28:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:28:30,13.771,,,74,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:28:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:28:40,5.882,,17.2,74.1,,0.51,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:28:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:28:50,5.882,,,74.1,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:28:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:29:00,3.922,,,74.1,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:29:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:29:10,5.858,,17.2,74.3,3.99,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:29:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:29:20,11.716,,,74.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:29:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:29:30,5.858,,,74.3,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:29:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:29:40,11.814,,17.1,73.9,,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:29:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:29:50,9.845,,,73.9,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:29:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:30:00,3.938,,,73.9,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:30:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:30:10,5.934,,17.1,73.7,3.99,0.5,0.31,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:30:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:30:20,9.89,,,73.7,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:30:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:30:30,3.956,,,73.7,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:30:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:30:40,7.932,,17.1,73.6,,0.5,0.31,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:30:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:30:50,1.983,,,73.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:30:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:31:00,3.966,,,73.6,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:31:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:31:10,5.925,,17.1,73.8,3.95,0.51,0.32,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:31:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:31:20,3.95,,,73.8,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:31:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:31:30,5.925,,,73.8,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:31:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:31:40,5.895,,17.1,74,,0.51,0.31,0.31,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:31:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:31:50,3.93,,,74,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:31:55,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:32:00,3.93,,,74,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:32:05,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:32:10,11.739,,17.1,74.2,3.95,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:32:15,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:32:20,3.913,,,74.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:32:25,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:32:30,5.869,,,74.2,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:32:35,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:32:40,3.901,,17.1,74.3,,0.51,0.33,0.3,1,0.11,-0.04,1.01,,,,,,,
15/06/2017,18:32:45,,,,,,,,,1,0.11,-0.04,1.01,,,,,,,
