Date,Time,RH-Corrected Nephelometer,RH-Corrected Nephelometer HR,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation,,,,
Date,Time,ë_g/må_,ë_g/må_,C,%,V,in H2O,in H2O,Lpm,g-unit,g-unit,g-unit,g-unit,,0=valid, 1=questionable, 2=invalid,0=valid, 1=questionable, 2=invalid
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
15/06/2017,8:45:00,2.264,,,66.2,,,,,1.37,0.36,0.04,1.42,,,,,,,
15/06/2017,8:45:05,,,,,,,,,0.99,0.24,0.01,1.02,,,,,,,
15/06/2017,8:45:10,2.24,,23.6,67,4.1,0.4,0.32,0.3,0.98,0.24,0.03,1.01,,,,,,,
15/06/2017,8:45:15,,,,,,,,,1.02,-0.07,0.06,1.03,,,,,,,
15/06/2017,8:45:20,2.24,,,67,,,,,0.94,-0.04,-0.02,0.94,,,,,,,
15/06/2017,8:45:25,,,,,,,,,0.99,0.11,0.03,1,,,,,,,
15/06/2017,8:45:30,2.24,,,67,,,,,1,0.09,0.13,1.01,,,,,,,
15/06/2017,8:45:35,,,,,,,,,1,0.13,0.08,1.01,,,,,,,
15/06/2017,8:45:40,2.287,,23.6,65.5,,0.4,0.32,0.3,0.99,0.24,0.13,1.03,,,,,,,
15/06/2017,8:45:45,,,,,,,,,0.98,-0.14,0.11,0.99,,,,,,,
15/06/2017,8:45:50,2.287,,,65.5,,,,,1,0.24,0.08,1.03,,,,,,,
15/06/2017,8:45:55,,,,,,,,,1,0.24,0.07,1.03,,,,,,,
15/06/2017,8:46:00,2.287,,,65.5,,,,,1,0.04,0.07,1.01,,,,,,,
15/06/2017,8:46:05,,,,,,,,,0.93,0.33,0.05,0.98,,,,,,,
15/06/2017,8:46:10,2.327,,23.6,64.3,4.14,0.4,0.33,0.3,1,0.16,0.08,1.02,,,,,,,
15/06/2017,8:46:15,,,,,,,,,0.98,0,0.09,0.99,,,,,,,
15/06/2017,8:46:20,2.327,,,64.3,,,,,1,0.24,0.08,1.03,,,,,,,
15/06/2017,8:46:25,,,,,,,,,0.98,0.3,0.04,1.02,,,,,,,
15/06/2017,8:46:30,4.653,,,64.3,,,,,0.91,0.28,-0.13,0.96,,,,,,,
15/06/2017,8:46:35,,,,,,,,,0.95,0.32,-0.03,1,,,,,,,
15/06/2017,8:46:40,9.28,,23.7,64.5,,0.4,0.32,0.3,1.39,0.21,0.24,1.42,,,,,,,
15/06/2017,8:46:45,,,,,,,,,1.08,0.29,-0.07,1.12,,,,,,,
15/06/2017,8:46:50,2.32,,,64.5,,,,,0.88,-0.07,-0.03,0.88,,,,,,,
15/06/2017,8:46:55,,,,,,,,,1.04,0.34,0.02,1.1,,,,,,,
15/06/2017,8:47:00,90.477,,,64.5,,,,,1,0.03,-0.01,1,,,,,,,
15/06/2017,8:47:05,,,,,,,,,0.95,0.2,0.01,0.97,,,,,,,
15/06/2017,8:47:10,2.3,,23.7,65.1,4.14,0.41,0.33,0.3,1,-0.01,-0.27,1.04,,,,,,,
15/06/2017,8:47:15,,,,,,,,,0.97,0.27,0.16,1.02,,,,,,,
15/06/2017,8:47:20,2.3,,,65.1,,,,,1,0.09,0,1,,,,,,,
15/06/2017,8:47:25,,,,,,,,,1.01,0.14,0.05,1.02,,,,,,,
15/06/2017,8:47:30,4.601,,,65.1,,,,,1,0.23,0.02,1.03,,,,,,,
15/06/2017,8:47:35,,,,,,,,,0.99,0.23,0.09,1.02,,,,,,,
15/06/2017,8:47:40,2.176,,23.7,68.8,,0.4,0.33,0.3,0.96,0.12,0,0.97,,,,,,,
15/06/2017,8:47:45,,,,,,,,,0.98,0.22,0.12,1.01,,,,,,,
15/06/2017,8:47:50,2.176,,,68.8,,,,,1,0.2,0.04,1.02,,,,,,,
15/06/2017,8:47:55,,,,,,,,,0.93,0.29,0.24,1,,,,,,,
15/06/2017,8:48:00,4.353,,,68.8,,,,,0.93,0.31,-0.01,0.98,,,,,,,
15/06/2017,8:48:05,,,,,,,,,0.99,0.25,0.36,1.08,,,,,,,
15/06/2017,8:48:10,4.258,,23.7,70,4.08,0.4,0.33,0.3,0.99,0.26,0.2,1.04,,,,,,,
15/06/2017,8:48:15,,,,,,,,,0.98,0.21,0.03,1,,,,,,,
15/06/2017,8:48:20,4.258,,,70,,,,,1.05,0.15,-0.04,1.07,,,,,,,
15/06/2017,8:48:25,,,,,,,,,1.07,0.17,0.06,1.09,,,,,,,
15/06/2017,8:48:30,17.033,,,70,,,,,1.02,0.19,0.13,1.05,,,,,,,
15/06/2017,8:48:35,,,,,,,,,0.99,0.2,0.03,1.01,,,,,,,
15/06/2017,8:48:40,6.486,,23.7,69.2,,0.4,0.32,0.31,1,0.2,0.06,1.02,,,,,,,
15/06/2017,8:48:45,,,,,,,,,1.4,0.27,0.12,1.44,,,,,,,
15/06/2017,8:48:50,4.324,,,69.2,,,,,1.07,0.13,-0.15,1.09,,,,,,,
15/06/2017,8:48:55,,,,,,,,,0.99,0.2,0.19,1.03,,,,,,,
15/06/2017,8:49:00,17.296,,,69.2,,,,,1.05,0.2,0.06,1.07,,,,,,,
15/06/2017,8:49:05,,,,,,,,,1,0.21,0.11,1.02,,,,,,,
15/06/2017,8:49:10,31.432,,23.8,66.8,4.14,0.41,0.32,0.31,0.92,0.15,-0.03,0.94,,,,,,,
15/06/2017,8:49:15,,,,,,,,,0.8,0.19,0.18,0.85,,,,,,,
15/06/2017,8:49:20,22.451,,,66.8,,,,,1.01,0.24,0.2,1.06,,,,,,,
15/06/2017,8:49:25,,,,,,,,,1.11,0.24,0.24,1.16,,,,,,,
15/06/2017,8:49:30,103.275,,,66.8,,,,,0.88,0.15,-0.02,0.89,,,,,,,
15/06/2017,8:49:35,,,,,,,,,0.97,0.2,0,0.99,,,,,,,
15/06/2017,8:49:40,72.505,,23.8,66.2,,0.41,0.33,0.3,1.04,0.2,0.18,1.07,,,,,,,
15/06/2017,8:49:45,,,,,,,,,1.05,0.12,-0.04,1.06,,,,,,,
15/06/2017,8:49:50,63.442,,,66.2,,,,,1.02,0.21,-0.02,1.04,,,,,,,
15/06/2017,8:49:55,,,,,,,,,1.02,0.22,0,1.04,,,,,,,
15/06/2017,8:50:00,43.05,,,66.2,,,,,0.91,0.25,0.03,0.95,,,,,,,
15/06/2017,8:50:05,,,,,,,,,1,-0.05,0.02,1,,,,,,,
15/06/2017,8:50:10,52.201,,23.9,66.1,4.14,0.4,0.33,0.3,1,0.26,0.15,1.05,,,,,,,
15/06/2017,8:50:15,,,,,,,,,0.98,0.25,0.03,1.01,,,,,,,
15/06/2017,8:50:20,24.966,,,66.1,,,,,0.92,0.2,0.21,0.96,,,,,,,
15/06/2017,8:50:25,,,,,,,,,1,0.23,0.02,1.03,,,,,,,
15/06/2017,8:50:30,15.887,,,66.1,,,,,1.07,0.15,-0.01,1.08,,,,,,,
15/06/2017,8:50:35,,,,,,,,,1.01,0.23,0.03,1.04,,,,,,,
15/06/2017,8:50:40,6.863,,23.9,65.5,,0.4,0.32,0.3,1.03,0.21,-0.05,1.05,,,,,,,
15/06/2017,8:50:45,,,,,,,,,0.98,0.24,-0.07,1.01,,,,,,,
15/06/2017,8:50:50,6.863,,,65.5,,,,,1,0.25,-0.07,1.04,,,,,,,
15/06/2017,8:50:55,,,,,,,,,0.92,0.32,-0.01,0.97,,,,,,,
15/06/2017,8:51:00,11.439,,,65.5,,,,,0.96,0.26,-0.03,0.99,,,,,,,
15/06/2017,8:51:05,,,,,,,,,1,0.2,0.01,1.02,,,,,,,
15/06/2017,8:51:10,6.888,,24,65.3,4.14,0.4,0.32,0.3,1.01,0.23,0.05,1.04,,,,,,,
15/06/2017,8:51:15,,,,,,,,,1.01,0.17,-0.02,1.02,,,,,,,
15/06/2017,8:51:20,4.592,,,65.3,,,,,1,0.22,-0.01,1.02,,,,,,,
15/06/2017,8:51:25,,,,,,,,,1,0.23,0,1.03,,,,,,,
15/06/2017,8:51:30,2.296,,,65.3,,,,,0.93,0.2,-0.07,0.95,,,,,,,
15/06/2017,8:51:35,,,,,,,,,0.99,0.22,0.09,1.02,,,,,,,
15/06/2017,8:51:40,2.298,,24,65.2,,0.43,0.31,0.31,1,0.22,-0.14,1.03,,,,,,,
15/06/2017,8:51:45,,,,,,,,,0.95,0.19,0.01,0.97,,,,,,,
15/06/2017,8:51:50,2.298,,,65.2,,,,,1,0.16,-0.01,1.01,,,,,,,
15/06/2017,8:51:55,,,,,,,,,1,0.25,0.03,1.03,,,,,,,
15/06/2017,8:52:00,9.193,,,65.2,,,,,0.92,0.31,0.13,0.98,,,,,,,
15/06/2017,8:52:05,,,,,,,,,1.03,0.13,-0.15,1.05,,,,,,,
15/06/2017,8:52:10,9.181,,24.1,65.3,4.09,0.39,0.32,0.3,1,0.19,0.05,1.02,,,,,,,
15/06/2017,8:52:15,,,,,,,,,0.84,0.18,0.03,0.86,,,,,,,
15/06/2017,8:52:20,9.181,,,65.3,,,,,1,0.29,0.05,1.04,,,,,,,
15/06/2017,8:52:25,,,,,,,,,0.94,0.24,0.05,0.97,,,,,,,
15/06/2017,8:52:30,2.295,,,65.3,,,,,0.95,0.25,0.12,0.99,,,,,,,
15/06/2017,8:52:35,,,,,,,,,1.08,0.2,-0.05,1.1,,,,,,,
15/06/2017,8:52:40,2.327,,24.1,64.3,,0.4,0.32,0.3,0.98,0.37,0.07,1.05,,,,,,,
15/06/2017,8:52:45,,,,,,,,,1.03,0.27,0.12,1.07,,,,,,,
15/06/2017,8:52:50,2.327,,,64.3,,,,,1,0.33,0.06,1.05,,,,,,,
15/06/2017,8:52:55,,,,,,,,,1,0.43,0.05,1.09,,,,,,,
15/06/2017,8:53:00,2.327,,,64.3,,,,,1.01,0.29,0.18,1.07,,,,,,,
15/06/2017,8:53:05,,,,,,,,,1,0.2,0.19,1.03,,,,,,,
15/06/2017,8:53:10,2.333,,24.2,64.1,4.14,0.41,0.32,0.3,0.94,0.12,0.06,0.95,,,,,,,
15/06/2017,8:53:15,,,,,,,,,0.82,0.21,-0.02,0.84,,,,,,,
15/06/2017,8:53:20,2.333,,,64.1,,,,,1.02,0.32,-0.04,1.07,,,,,,,
15/06/2017,8:53:25,,,,,,,,,0.9,0.25,0.01,0.94,,,,,,,
15/06/2017,8:53:30,2.333,,,64.1,,,,,0.99,0.24,0,1.02,,,,,,,
15/06/2017,8:53:35,,,,,,,,,1.03,0.19,-0.01,1.05,,,,,,,
15/06/2017,8:53:40,2.357,,24.2,63.3,,0.39,0.32,0.3,1,0.14,-0.06,1.01,,,,,,,
15/06/2017,8:53:45,,,,,,,,,1.1,0.21,0.05,1.12,,,,,,,
15/06/2017,8:53:50,7.07,,,63.3,,,,,1.06,0.08,-0.02,1.06,,,,,,,
15/06/2017,8:53:55,,,,,,,,,0.95,0.14,0.07,0.97,,,,,,,
15/06/2017,8:54:00,2.357,,,63.3,,,,,0.97,0.16,0.07,0.98,,,,,,,
15/06/2017,8:54:05,,,,,,,,,0.98,0.16,0.08,0.99,,,,,,,
15/06/2017,8:54:10,2.357,,24.2,63.3,4.14,0.42,0.32,0.3,1.02,0.03,0.08,1.02,,,,,,,
15/06/2017,8:54:15,,,,,,,,,1.03,-0.01,0.09,1.03,,,,,,,
15/06/2017,8:54:20,11.783,,,63.3,,,,,1.07,0.11,0.12,1.08,,,,,,,
15/06/2017,8:54:25,,,,,,,,,0.9,0.32,0.06,0.96,,,,,,,
15/06/2017,8:54:30,2.357,,,63.3,,,,,0.98,0.24,0.18,1.03,,,,,,,
15/06/2017,8:54:35,,,,,,,,,1.03,0.21,0.12,1.06,,,,,,,
15/06/2017,8:54:40,2.358,,24.3,63.3,,0.41,0.32,0.31,1.09,0.1,0.07,1.1,,,,,,,
15/06/2017,8:54:45,,,,,,,,,1,0.18,0.15,1.03,,,,,,,
15/06/2017,8:54:50,2.358,,,63.3,,,,,0.95,0.12,0.04,0.96,,,,,,,
15/06/2017,8:54:55,,,,,,,,,0.96,0.34,0.13,1.03,,,,,,,
15/06/2017,8:55:00,2.358,,,63.3,,,,,0.9,0.56,0.14,1.07,,,,,,,
15/06/2017,8:55:05,,,,,,,,,0.91,0.41,0.17,1.01,,,,,,,
15/06/2017,8:55:10,2.351,,24.3,63.5,4.14,0.39,0.33,0.3,0.99,0.15,0.13,1,,,,,,,
15/06/2017,8:55:15,,,,,,,,,1.02,0.08,0.21,1.05,,,,,,,
15/06/2017,8:55:20,30.561,,,63.5,,,,,1.03,0.24,0.23,1.08,,,,,,,
15/06/2017,8:55:25,,,,,,,,,0.93,0.18,0.2,0.97,,,,,,,
15/06/2017,8:55:30,4.702,,,63.5,,,,,1.1,-0.05,0.12,1.1,,,,,,,
15/06/2017,8:55:35,,,,,,,,,0.97,0.5,0.18,1.1,,,,,,,
15/06/2017,8:55:40,14.28,,24.3,62.5,,0.41,0.33,0.3,1.01,0.54,0.23,1.17,,,,,,,
15/06/2017,8:55:45,,,,,,,,,1.03,0.2,0.16,1.06,,,,,,,
15/06/2017,8:55:50,2.38,,,62.5,,,,,1.03,-0.07,0.11,1.03,,,,,,,
15/06/2017,8:55:55,,,,,,,,,1,0.04,0.15,1.01,,,,,,,
