filterID,netmass
KHC0696,0.166
KHC0697,0.0843
KHC0698,0.0667
KHC0699,0.0195
KHC0700,0.0408
KHC0701,0.181
KHC0702,0.0218
KHC0703,0.053
KHC0704,0.0361
KHC0705,0.0173
KHC0706,0.0283
KHC0707,0.0185
KHC0708,0.1282
KHC0709,0.0275
KHC0710,0.0563
KHC0711,0.0177
KHC0712,0.1151
KHC0713,0.0665
KHC0714,0.0811
KHC0715,0.0148
KHC0716,0.0206
KHC0717,0.0134
KHC0718,0.0637
KHC0719,0.1287
KHC0720,0.0446
KHC0721,0.0585
KHC0722,0.0187
KHC0723,0.0405
KHC0724,0.0327
KHC0725,0.0315
KHC0726,0.0131
KHC0727,0.092
KHC0728,0.0787
KHC0729,0.0461
KHC0730,0.0296
KHC0731,0.0231
KHC0732,0.0499
KHC0733,0.0478
KHC0734,0.0375
KHC0735,0.0299
KHC0736,0.0475
KHC0737,0.0338
KHC0738,0.0228
KHC0739,0.0446
KHC0740,0.0317
KHC0741,0.0615
KHC0742,0.0382
KHC0743,0.0324
KHC0744,0.0446
KHC0745,0.0303
KHC0746,0.044
KHC0747,0.0337
KHC0748,0.0601
KHC0749,0.0162
KHC0750,0.0313
KHC0751,0.042
KHC0752,0.0602
KHC0753,0.0455
KHC0754,0.0558
KHC0755,0.0713
KHC0756,0.0249
KHC0757,0.0961
KHC0758,0.0489
KHC0759,0.0474
KHC0760,0.0433
KHC0761,0.0229
KHC0762,0.0432
KHC0763,0.0772
KHC0764,0.006
KHC0765,0.0299
KHC0766,0.0514
KHC0767,0.1134
KHC0768,0.0528
KHC0769,0.1264
KHC0770,0.0232
KHC0771,0.0936
KHC0772,0.0914
KHC0773,0.0614
KHC0774,0.0284
KHC0775,0.0516
KHC0776,0.0914
KHC0777,0.0279
KHC0778,0.108
KHC0779,0.0428
KHC0780,0.0334
KHC0781,0.0616
KHC0782,0.0479
KHC0783,0.2297
KHC0784,0.0625
KHC0785,0.0397
KHC0786,0.1117
KHC0787,0.0391
KHC0788,0.0523
KHC0789,0.1431
KHC0790,0.0372
KHC0791,0.0138
KHC0792,0.0251
KHC0793,0.0316
KHC0794,0.029
KHC0795,0.1301
KHC0796,0.0004
KHC0797,0.0004
KHC0798,-0.0003
KHC0799,0.0032
KHC0800,-0.0021
KHC0801,0.0279
KHC0802,0.0146
KHC0803,0.0279
KHC0804,0.1231
KHC0805,0.0327
KHC0806,0.0164
KHC0807,0.0314
KHC0808,0.0043
KHC0809,0.0335
KHC0810,0.0294
KHC0811,0.0103
KHC0812,0.0441
KHC0813,0.0361
KHC0814,0.0741
KHC0815,0.0084
KHC0816,
KHC0817,0.0569
KHC0818,0.0703
KHC0819,0.052
KHC0820,0.026
KHC0821,0.0043
KHC0822,0.1239
KHC0823,0.0693
KHC0824,0.0258
KHC0825,0.0833
KHC0826,0.0366
KHC0827,0.1606
KHC0828,0.0111
KHC0829,0.1044
KHC0830,0.0317
KHC0831,0.0084
KHC0832,0.0609
KHC0833,0.027
KHC0834,0.0432
KHC0835,0.0707
KHC0836,0.117
KHC0837,0.0493
KHC0838,0.0343
KHC0839,0.039
KHC0840,0.0266
KHC0841,0.0556
KHC0842,0.092
KHC0843,0.0048
KHC0844,0.0567
KHC0845,0.029
KHC0846,0.0222
KHC0847,0.1006
KHC0848,0.1413
KHC0849,0.0492
KHC0850,0.0729
KHC0851,0.0221
KHC0852,0.0253
KHC0853,0.0448
KHC0854,0.0371
KHC0855,0.0201
KHC0856,0.0503
KHC0857,0.0728
KHC0858,0.0722
KHC0859,0.036
KHC0860,0.067
KHC0861,0.0643
KHC0862,0.0992
KHC0863,0.0486
KHC0864,0.0472
KHC0865,0.0527
KHC0866,0.0921
KHC0867,0.1068
KHC0868,0.087
KHC0870,0.0472
KHC0871,0.0301
KHC0872,0.024
KHC0873,0.0222
KHC0874,0.076
KHC0875,0.0353
KHC0876,0.0118
KHC0877,0.133
KHC0878,0.0623
KHC0879,0.0282
KHC0880,0.0316
KHC0881,0.0083
KHC0882,0.0172
KHC0883,0.0028
KHC0884,0.006
KHC0885,0.0167
KHC0886,0.0273
KHC0887,0.0036
KHC0888,0.0112
KHC0889,0.0185
KHC0890,0.0233
KHC0891,0.0154
KHC0892,0.0249
KHC0893,0.0498
KHC0894,0.2071
KHC0895,0.1844
KHC0896,0.006
